Date,Slot Revenue,Table Game Revenue,Hotel Revenue,Food & Beverage Revenue,Entertainment Revenue,Loyalty Member Revenue,Peak Hour Revenue (6PM-12AM),Operating Expenses,Marketing Spend,Customer Acquisition Cost,Total Customers,New Customers,High-Roller Revenue,Hotel Occupancy (%),Average Spend per Customer,Total Revenue,Profit Margin (%),Cash Flow,Player Retention Rate (%),VIP Customers,Standard Customers,Food & Beverage Cost,Event Nights
2023-01-01,141958,61934,29262,31270,72910,137626,5717,161362,79876,356,9257,361,103848,32,604,394786,17.49,278443,91.75,359,2032,4573,1
2023-01-02,166867,205967,85435,81815,25567,143943,278820,340951,44924,316,3581,382,156510,64,947,615518,19.85,170533,64.97,185,3922,35593,0
2023-01-03,151932,15486,133583,42279,37292,56002,185882,226298,91720,496,3486,949,54999,50,672,649666,8.71,65503,72.64,271,4862,14786,0
2023-01-04,385838,149407,46844,112787,76813,59812,123696,633838,50734,490,9418,955,28482,93,766,1985875,14.97,-10977,50.63,280,2153,29500,0
2023-01-05,279178,136020,69754,26888,53631,163698,9994,523288,78116,432,3443,328,173543,81,945,1484406,27.61,131101,50.31,152,738,10815,0
2023-01-06,139879,112795,82129,20630,11885,201051,271378,315702,50025,189,9919,987,57279,63,305,405019,29.97,252085,60.81,198,1414,22966,0
2023-01-07,130268,230184,45042,64063,61659,217129,74300,362257,12159,378,2036,379,119413,64,356,1266747,29.68,168031,54.54,281,1938,14794,1
2023-01-08,227892,152202,66665,38144,56306,118946,311093,108219,58940,51,9684,969,64213,44,999,1510781,27.04,26054,61.71,29,3516,32423,1
2023-01-09,74886,247027,121953,55161,68314,76668,42405,286495,89436,57,8435,389,123909,35,193,1887665,14.87,277507,57.97,342,1960,34944,1
2023-01-10,157337,128324,123533,99718,67087,109003,302016,627506,86976,299,2548,779,23026,61,707,688665,22.16,11742,51.28,309,3579,22302,1
2023-01-11,495602,207775,78781,94074,31165,221142,309359,331373,24678,188,6065,146,95184,81,440,884627,15.41,-4785,90.92,435,2758,22264,0
2023-01-12,450410,299336,71262,80360,60929,230462,28185,602165,71075,173,7496,814,15435,57,862,678979,21.21,260001,50.37,55,866,20604,0
2023-01-13,107498,273206,51600,53979,69028,52998,179514,239073,57204,358,7183,313,149565,93,725,1138240,12.74,267620,83.12,104,3491,28835,0
2023-01-14,394871,94076,81898,100661,51812,204886,308297,409281,22021,277,4957,857,69321,48,218,1606095,20.16,109245,56.85,427,4241,8820,0
2023-01-15,408468,99780,35448,9979,52500,114601,344679,197878,16772,59,4407,123,143835,44,347,1602631,18.09,271912,91.05,73,585,50282,0
2023-01-16,195203,162617,31172,29189,60643,186679,138653,269707,77163,261,1639,420,30389,35,282,411207,5.61,191443,90.18,422,2993,56811,0
2023-01-17,211335,31689,12657,45600,46900,17812,56717,291249,83755,161,1172,373,41498,67,952,716070,24.77,53591,79.43,140,631,53714,0
2023-01-18,298167,283318,117855,62560,44946,71844,7763,87034,33464,57,6666,655,73755,55,320,1932760,5.3,199045,80.25,18,1403,2499,0
2023-01-19,61090,19348,12906,81040,9851,211165,60480,221389,61137,341,5354,943,111545,80,109,178343,12.33,-3771,50.24,468,3956,24814,0
2023-01-20,349365,48102,66413,64558,18288,143251,174831,462310,40232,411,4959,412,45825,82,345,445215,5.15,12583,94.32,212,1721,25089,0
2023-01-21,84820,84460,59028,89205,74692,184870,212139,60589,71497,302,9708,462,26934,85,516,1022996,14.41,205931,89.5,418,2263,8626,0
